
> otp-site-1@1.3.0 start
> node server.js

✅ Supabase Admin Initialized
✅ Gemini API Key found

🚀 OTP SECURE SERVER V1.3.1 ONLINE
🔒 Security Headers: ENABLED
📦 Compression: ENABLED
🔑 Auth System: JWT ENABLED
📡 Local: http://localhost:3000

[2026-03-09T13:08:18.203Z] GET /archive.html - IP: 127.0.0.1
[2026-03-09T13:08:30.554Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:08:30.561Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:09:24.498Z] POST /api/create-checkout-session - IP: 127.0.0.1
[2026-03-09T13:09:28.547Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:09:28.596Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:20:36.069Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:20:36.087Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:20:36.087Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T13:20:36.088Z] GET /styles.css?v=1773059409 - IP: 127.0.0.1
[2026-03-09T13:20:36.112Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T13:20:36.117Z] GET /pay_v2.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T13:20:36.123Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T13:20:36.166Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T13:20:36.166Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T13:20:36.166Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T13:20:36.167Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:20:36.701Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T13:22:17.456Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:22:17.477Z] GET /styles.css?v=1773059410 - IP: 127.0.0.1
[2026-03-09T13:22:17.479Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:22:17.481Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T13:22:17.522Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T13:22:17.525Z] GET /pay_v2.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T13:22:17.526Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T13:22:17.553Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T13:22:17.553Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T13:22:17.554Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T13:22:17.566Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:22:17.844Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T13:22:43.674Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:23:11.589Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:23:11.599Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:24:05.838Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:24:05.856Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:24:05.856Z] GET /styles.css?v=1773059410 - IP: 127.0.0.1
[2026-03-09T13:24:05.857Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T13:24:05.882Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T13:24:05.887Z] GET /pay_v2.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T13:24:05.893Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T13:24:05.920Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T13:24:05.920Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T13:24:05.921Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T13:24:05.934Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:24:06.165Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T13:24:07.339Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:24:07.352Z] GET /styles.css?v=1773059411 - IP: 127.0.0.1
[2026-03-09T13:24:09.487Z] GET /insight.html?slug=whats-elegant-about-eli3gant - IP: 127.0.0.1
[2026-03-09T13:24:10.910Z] GET /insight.html?slug=whats-elegant-about-eli3gant - IP: 127.0.0.1
[2026-03-09T13:24:10.918Z] GET /styles.css?v=1773018092 - IP: 127.0.0.1
[2026-03-09T13:24:10.919Z] GET /site-config.js - IP: 127.0.0.1
[2026-03-09T13:24:10.919Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T13:24:10.920Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T13:24:10.929Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T13:24:11.042Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T13:24:24.338Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:24:25.271Z] GET /insight.html?slug=spooky-luh-ooky - IP: 127.0.0.1
[2026-03-09T13:27:19.226Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:27:19.238Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:31:32.471Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:31:32.490Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:31:32.490Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T13:31:32.491Z] GET /styles.css?v=1773059410 - IP: 127.0.0.1
[2026-03-09T13:31:32.511Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T13:31:32.515Z] GET /pay_v2.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T13:31:32.528Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T13:31:32.555Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T13:31:32.556Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T13:31:32.557Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T13:31:32.558Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:31:33.207Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T13:31:34.180Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:31:34.193Z] GET /styles.css?v=1773059413 - IP: 127.0.0.1
[2026-03-09T13:31:34.200Z] GET /site-init.js?v=1773018092 - IP: 127.0.0.1
[2026-03-09T13:31:34.594Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:31:34.602Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:31:37.545Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:31:39.377Z] GET /insight.html?slug=whats-elegant-about-eli3gant - IP: 127.0.0.1
[2026-03-09T13:31:39.384Z] GET /styles.css?v=1773059412 - IP: 127.0.0.1
[2026-03-09T13:31:53.994Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:31:55.678Z] GET /insight.html?slug=spooky-luh-ooky - IP: 127.0.0.1
[2026-03-09T13:31:59.069Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:33:01.963Z] GET /archive.html - IP: 127.0.0.1
[2026-03-09T13:33:06.379Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:33:07.656Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:46:59.942Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:46:59.961Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:48:31.445Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:48:31.463Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:48:31.464Z] GET /assets/otp.gif - IP: 127.0.0.1
